recv_time_sec,stamp_sec,stamp_nanosec,pose_x,pose_y,pose_z,orient_x,orient_y,orient_z,orient_w,twist_lin_x,twist_lin_y,twist_lin_z,twist_ang_x,twist_ang_y,twist_ang_z,cov_xx,cov_yy,cov_zz,cov_aa,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,computed_vx,computed_vy,computed_wz,paired_cmd_vx,paired_cmd_vy,paired_cmd_wz
1783437443.3282635,1783437443,301408767,0.4212663038504414,-0.962370993091677,-0.04298969812715113,0.0053181925448572654,-0.007318557231427029,0.964379475926207,0.26436789131889765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6384146245188947,-1.1251005244996197,0.02073997699850684,-0.11041897710771909,0.03363394095961889,0.9575163509617195,0.26427040157944875,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.4278462,1783437443,401481389,0.4226344522606102,-0.9638177273481767,-0.04278863757292361,0.005227012421434344,-0.0074332535179624515,0.9643583379489523,0.2644436066756354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397417800086935,-1.1265929450881977,0.0209640233972277,-0.11050608557913559,0.033529093095270454,0.9574851440656357,0.26436036741500113,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.5362647,1783437443,501472711,0.42257854548886997,-0.9600740579892353,-0.04086220342234094,0.005339666867001862,-0.007494110292896516,0.9643678632675021,0.26440489890609026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397107650009937,-1.122843039202909,0.02282157047181317,-0.11039572473685172,0.03346416558652672,0.9575089673415443,0.26432841512397465,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.6392255,1783437443,601444005,0.42106602111539615,-0.9615541516000939,-0.040353322573010095,0.005376744995030325,-0.0074987765241535595,0.9643701099948926,0.26439582052736404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382057526495588,-1.1243207885436797,0.023310826996011322,-0.11035927713835625,0.0334584837355094,0.9575157867777695,0.2643196509663424,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.7407675,1783437443,701617002,0.4211156021223196,-0.9617691480473923,-0.04108458771529351,0.0051460622152761475,-0.007467689826085653,0.9643380723351416,0.26451811638767053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381865022167817,-1.1245797042533947,0.02270186988404481,-0.11058324648937877,0.033503769775862675,0.9574553463873569,0.2644392230380011,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.8283668,1783437443,801309585,0.42033764467213014,-0.9656457390271516,-0.04203492117599235,0.005182659086023897,-0.0072837375117376785,0.9643638898829099,0.26442839314748545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374499426330927,-1.1283938691236344,0.021769947581874033,-0.1105510809309676,0.03367561733888088,0.9574839188639904,0.26432736600415696,0.0,0.0,0.0,0.0,0.0,0.0
1783437443.932535,1783437443,901366710,0.42203832823874393,-0.9612460482413812,-0.039568225398514956,0.005470106185085221,-0.00751191379203128,0.9644092319315702,0.2642507946150089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392380036262677,-1.123951989215992,0.024046575050128555,-0.1102726790905444,0.03342814202449854,0.9575663152029921,0.2641765461874835,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.0346956,1783437444,1402854,0.4212714995457041,-0.9631814300964604,-0.0377596902227298,0.005481952151943943,-0.007406462183285405,0.9644312435322014,0.26417317997378764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638502548256396,-1.1258395274782464,0.025870333234679986,-0.11026441868712537,0.03352350378226405,0.957588762169508,0.26408652982009617,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.129318,1783437444,101274013,0.42247657014000106,-0.960311425871308,-0.039619339620895935,0.005458322478012352,-0.007451106713393466,0.9644020007559974,0.2642791491251266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6396674352203078,-1.1230220982017205,0.02401343721976343,-0.11028330409384031,0.03349188329339938,0.9575571274317347,0.26419733968435694,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.223845,1783437444,201404333,0.4217502662529725,-0.9649682663528399,-0.038522711546875046,0.005498661773559874,-0.007263611031482103,0.9644012927884795,0.26428611605870017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389505807329736,-1.1276597008678066,0.02512699841515781,-0.11024332603958718,0.03367885210449994,0.9575596961542486,0.26418094610633003,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.3257525,1783437444,301346778,0.42219174600536424,-0.9622269714382986,-0.0382025337381925,0.0052435588320471,-0.007288929538986798,0.9644122421462681,0.26425064578040036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639371241662248,-1.124897690382054,0.02557104164803898,-0.11049812690856099,0.03364920181214183,0.9575395998448857,0.26415111185834816,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.4252157,1783437444,401568889,0.42340032545720113,-0.963458302286441,-0.03875748187538934,0.005637221261364724,-0.007496590486053515,0.9643986332757336,0.26428639579712015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406094001811893,-1.126183514473877,0.024775881242762407,-0.11010523179188518,0.033447795794541435,0.9575760777916477,0.26420851259886846,0.0,0.0,0.0,0.0,0.0,0.0
1783437444.5233884,1783437444,501496076,0.42108986350034977,-0.9654911250184053,-0.03930769615766855,0.0054243942404130505,-0.007264442426701526,0.9643828238217639,0.2643550130807333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638257719169956,-1.1282113489462966,0.024379164667167164,-0.1103141610342474,0.033686215827854624,0.9575322083526998,0.2642500609379522,0.0,0.0,0.0,0.0,0.0,0.0
